dataset,experiment,experiment_id,start_time,run_count,error_rate,latency_p50,latency_p99,total_tokens,total_cost,score.all_info_appointment_telemail.avg,score.all_info_appointment_telemail.n,score.call_reason_identified.avg,score.call_reason_identified.n,score.danke_avg.avg,score.danke_avg.n,score.danke_score.avg,score.danke_score.n,score.info_duplicate.avg,score.info_duplicate.n,score.no_cal_disclosure.avg,score.no_cal_disclosure.n,score.offer_callback_appointment.avg,score.offer_callback_appointment.n,dataset_version,revision_id,git_commit,score.all_info_appointment_telonly.avg,score.all_info_appointment_telonly.n,score.all_info_callback.avg,score.all_info_callback.n,score.offer_callback.avg,score.offer_callback.n
PREDEPLOY_appointment_sim_nocal_telemail_100,surfers-immo-nocal-v2-hangup-56eb7e8c,b68a0d6d-50ac-4d22-990b-57264734d45d,2026-08-12 12:25:50.989120+00:00,100,0.0,0 days 00:00:37.914000,0 days 00:01:09.557200,520671,3.47428,0.04,100.0,0.99,100,0.157706,100,0.5001140000000001,100,0.38,100,1.0,100.0,0.1,100.0,2026-08-11T07:53:45.895150+00:00,,,,,,,,
PREDEPLOY_appointment_sim_cal_telonly_100,surfers-immo-cal-telonly-v2-hangup-d423ac44,a5e8489c-6adb-4b33-a04f-63150390df7c,2026-08-13 05:48:20.827185+00:00,100,0.0,0 days 00:00:29.798000,0 days 00:00:54.774210,343694,2.24112,,,0.99,100,0.180426,100,0.624811,100,0.28,100,,,0.36,100.0,2026-08-11T07:55:31.419632+00:00,,,0.47,100.0,,,,
PREDEPLOY_appointment_sim_cal_telemail_100,surfers-immo-cal-telemail-v2-hangup-7dc45ddf,5c049e54-4963-4059-9d7e-6a1ca04c14a7,2026-08-12 13:02:10.391672+00:00,100,0.0,0 days 00:00:43.347000,0 days 00:01:17.497160,508541,3.06003,0.91,100.0,0.99,100,0.188935,100,0.6611790000000001,100,0.12,100,,,,,2026-08-11T07:58:17.315102+00:00,,,,,,,,
PREDEPLOY_appointment_sim_nocal_telemail_100_multiinfo,surfers-immo-nocal-v2-hangup-multiinfo-c2ca26cd,395c110a-d8c5-452c-a374-ca9821ee231e,2026-08-12 13:21:10.762904+00:00,100,0.0,0 days 00:00:42.990500,0 days 00:01:14.069300,530110,3.43925,0.08,100.0,0.97,100,0.15972,100,0.47643300000000005,100,0.38,100,0.99,100.0,0.13,100.0,2026-08-11T07:54:38.636175+00:00,,,,,,,,
PREDEPLOY_appointment_sim_cal_telonly_100_multiinfo,surfers-immo-cal-telonly-v2-hangup-multiinfo-df7dc3e5,419efcc8-5ced-45d0-9d96-447e745f5a78,2026-08-13 06:03:33.149701+00:00,100,0.0,0 days 00:00:27.236000,0 days 00:01:04.926520,316527,2.075835,,,1.0,100,0.122677,100,0.350398,100,0.28,100,,,0.42,100.0,2026-08-11T07:56:00.242387+00:00,,,0.15,100.0,,,,
PREDEPLOY_appointment_sim_cal_telemail_100_multiinfo,surfers-immo-cal-telemail-v2-hangup-multiinfo-81b3347a,f6fb00c2-c1d5-4ed0-b7e0-b523eecf3d90,2026-08-12 13:54:10.062962+00:00,100,0.0,0 days 00:00:30.828000,0 days 00:01:12.352510,320165,2.027325,0.19,100.0,1.0,100,0.136881,100,0.424334,100,0.28,100,,,,,2026-08-11T07:58:35.001024+00:00,,,,,,,,
PREDEPLOY_callback_sim_100,surfers-immo-callback-v2-20151f52,3aae034e-2b72-4de9-9452-0dd4cb713d21,2026-08-12 14:08:48.826861+00:00,100,0.0,0 days 00:00:19.293000,0 days 00:00:41.614750,179905,1.40595,,,1.0,100,0.048743,100,0.156419,100,0.21,100,,,,,2026-08-11T11:15:12.098010+00:00,,,,,0.0,100.0,0.12,100.0
