dataset,experiment,experiment_id,start_time,run_count,error_rate,latency_p50,latency_p99,total_tokens,total_cost,score.all_info_appointment_telemail.avg,score.all_info_appointment_telemail.n,score.call_reason_identified.avg,score.call_reason_identified.n,score.danke_avg.avg,score.danke_avg.n,score.danke_score.avg,score.danke_score.n,score.hallucinate_appointment.avg,score.hallucinate_appointment.n,score.info_duplicate.avg,score.info_duplicate.n,score.no_cal_disclosure.avg,score.no_cal_disclosure.n,score.offer_callback_appointment.avg,score.offer_callback_appointment.n,dataset_version,revision_id,git_commit,score.all_info_appointment_telonly.avg,score.all_info_appointment_telonly.n,score.schedule_appointment.avg,score.schedule_appointment.n,score.all_info_callback.avg,score.all_info_callback.n,score.offer_callback.avg,score.offer_callback.n,score.techsupport_correctness.avg,score.techsupport_correctness.n,score.techsupport_noinfo_disclosure.avg,score.techsupport_noinfo_disclosure.n
PREDEPLOY_appointment_sim_nocal_telemail_100,surfers-immo-nocal-v2-hangup-11fdcf68,ed5105ea-3760-4763-8ad8-06429433d44c,2026-08-14 13:57:26.924358+00:00,100,0.0,0 days 00:00:18.420000,0 days 00:00:33.731700,188191,1.35618,0.0,100.0,1.0,100,0.0016669999999999999,100.0,0.017054,100.0,0.0,100.0,0.05,100,1.0,100.0,0.0,100.0,2026-08-11T07:53:45.895150+00:00,,,,,,,,,,,,,,
PREDEPLOY_appointment_sim_cal_telonly_100,surfers-immo-cal-telonly-v2-hangup-e13ebb67,a990caff-c774-481d-88ca-bfde905352fa,2026-08-14 14:05:26.091896+00:00,100,0.0,0 days 00:00:51.990000,0 days 00:01:14.148930,532635,3.51785,,,1.0,100,0.127356,100.0,0.41064900000000004,100.0,0.01,100.0,0.29,100,,,0.33,100.0,2026-08-11T07:55:31.419632+00:00,,,0.74,100.0,,,,,,,,,,
PREDEPLOY_appointment_sim_cal_telemail_100,surfers-immo-cal-telemail-v2-hangup-51dd4877,1cee3eeb-ff9b-4376-8ffa-b04babd3fdab,2026-08-14 14:26:40.424426+00:00,100,0.0,0 days 00:00:49.335000,0 days 00:01:08.537040,531197,3.23411,0.9,100.0,1.0,100,0.159603,100.0,0.55238,100.0,,,0.11,100,,,,,2026-08-11T07:58:17.315102+00:00,,,,,0.7,100.0,,,,,,,,
PREDEPLOY_appointment_sim_nocal_telemail_100_multiinfo,surfers-immo-nocal-v2-hangup-multiinfo-f14cc29f,2523aef0-0709-4d06-9b59-9d208ed48401,2026-08-14 14:47:35.172082+00:00,100,0.0,0 days 00:00:16.860500,0 days 00:00:29.072600,190647,1.42041,0.0,100.0,0.99,100,0.0016669999999999999,100.0,0.017054,100.0,0.0,100.0,0.01,100,1.0,100.0,0.0,100.0,2026-08-11T07:54:38.636175+00:00,,,,,,,,,,,,,,
PREDEPLOY_appointment_sim_cal_telonly_100_multiinfo,surfers-immo-cal-telonly-v2-hangup-multiinfo-df986b73,f00bcf59-dac9-42b2-a1d0-d86ac342d050,2026-08-14 14:54:46.132006+00:00,100,0.0,0 days 00:00:41.480000,0 days 00:01:40.665320,478068,3.31909,,,1.0,100,0.058700999999999996,100.0,0.151333,100.0,0.19,100.0,0.23,100,,,0.12,100.0,2026-08-11T07:56:00.242387+00:00,,,0.46,100.0,,,,,,,,,,
PREDEPLOY_appointment_sim_cal_telemail_100_multiinfo,surfers-immo-cal-telemail-v2-hangup-multiinfo-8cebfc8c,21f354bf-b3dd-42a8-be88-e5f98f8b6ffe,2026-08-14 15:13:38.635203+00:00,100,0.0,0 days 00:00:42.832500,0 days 00:01:12.331790,456465,2.8934,0.7,100.0,1.0,100,0.10225400000000001,100.0,0.291223,100.0,,,0.25,100,,,,,2026-08-11T07:58:35.001024+00:00,,,,,0.59,100.0,,,,,,,,
PREDEPLOY_callback_sim_100,surfers-immo-callback-v2-ca0bbda7,98c4f0cf-df53-422b-8c7b-eef1aed4605e,2026-08-14 15:32:01.660731+00:00,100,0.0,0 days 00:00:09.862500,0 days 00:00:13.961960,100783,0.92304,,,1.0,100,0.0,100.0,0.0111,100.0,,,0.02,100,,,,,2026-08-11T11:15:12.098010+00:00,,,,,,,0.0,100.0,0.0,100.0,,,,
PREDEPLOY_techsupport_sim_answerable_100,surfers-immo-techsupport_answerable_V1-2749ec98,58db3514-c8ff-4462-9235-a274096b6c5d,2026-08-14 15:36:22.009412+00:00,100,0.0,0 days 00:00:12.080000,0 days 00:00:17.959510,84024,0.62092,,,0.99,100,,,,,,,0.0,100,,,,,2026-08-14T13:04:35.500371+00:00,,,,,,,,,,,0.79,100.0,,
PREDEPLOY_techsupport_sim_unanswerable_100,surfers-immo-techsupport_unanswerable_V1-8ac6f6c3,d4e317a4-dbb6-463e-b59b-1366653a3401,2026-08-14 15:41:41.700647+00:00,100,0.0,0 days 00:00:11.223000,0 days 00:00:14.459380,81107,0.60816,,,1.0,100,,,,,,,0.0,100,,,,,2026-08-14T13:05:09.451718+00:00,,,,,,,,,,,,,0.76,100.0
