dataset,experiment,experiment_id,start_time,run_count,error_rate,latency_p50,latency_p99,total_tokens,total_cost,score.all_info_appointment_telemail.avg,score.all_info_appointment_telemail.n,score.call_reason_identified.avg,score.call_reason_identified.n,score.danke_avg.avg,score.danke_avg.n,score.danke_score.avg,score.danke_score.n,score.hallucinate_appointment.avg,score.hallucinate_appointment.n,score.info_duplicate.avg,score.info_duplicate.n,score.no_cal_disclosure.avg,score.no_cal_disclosure.n,score.offer_callback_appointment.avg,score.offer_callback_appointment.n,dataset_version,revision_id,git_commit,score.all_info_appointment_telonly.avg,score.all_info_appointment_telonly.n,score.schedule_appointment.avg,score.schedule_appointment.n,score.all_info_callback.avg,score.all_info_callback.n,score.offer_callback.avg,score.offer_callback.n,score.techsupport_correctness.avg,score.techsupport_correctness.n,score.techsupport_noinfo_disclosure.avg,score.techsupport_noinfo_disclosure.n
PREDEPLOY_appointment_sim_nocal_telemail_100,surfers-immo-nocal-v2-hangup_V1_sigateai-6fa5b5c9,ce470224-21be-408c-a771-bd2b717202af,2026-08-14 16:28:16.204888+00:00,100,0.0,0 days 00:00:10.169500,0 days 00:00:16.693770,127993,1.029565,0.0,100.0,0.89,100,0.0,100.0,0.0111,100.0,0.0,100.0,0.0,100,1.0,100.0,0.0,100.0,2026-08-11T07:53:45.895150+00:00,,,,,,,,,,,,,,
PREDEPLOY_appointment_sim_cal_telonly_100,surfers-immo-cal-telonly-v2-hangup_V1_sigateai-3ae5af7e,38f58988-62fd-40ce-970f-6a0bd27ca55e,2026-08-17 13:42:01.688289+00:00,100,0.0,0 days 00:01:39.183000,0 days 00:02:25.112830,774946,5.932555,,,0.96,100,0.114306,100.0,0.31180800000000003,100.0,0.04,100.0,0.09,100,,,0.02,100.0,2026-08-11T07:55:31.419632+00:00,,,0.98,100.0,,,,,,,,,,
PREDEPLOY_appointment_sim_cal_telemail_100,surfers-immo-cal-telemail-v2-hangup_V1_sigateai-84b3e8c0,b8a939d1-9026-4be4-bbee-1b403fdf15f9,2026-08-14 17:17:45.732538+00:00,100,0.0,0 days 00:01:48.331000,0 days 00:02:27.933230,891711,6.59588,0.99,100.0,0.94,100,0.11995499999999999,100.0,0.33665599999999996,100.0,,,0.06,100,,,,,2026-08-11T07:58:17.315102+00:00,,,,,0.03,100.0,,,,,,,,
PREDEPLOY_appointment_sim_nocal_telemail_100_multiinfo,surfers-immo-nocal-v2-hangup-multiinfo_V1_sigateai-9feebcf0,79bb3e47-9645-458f-acdc-d70969e2ec8f,2026-08-14 18:03:56.279782+00:00,100,0.0,0 days 00:00:10.371000,0 days 00:00:19.264050,132031,1.10423,0.0,100.0,0.93,100,0.002,100.0,0.019341999999999998,100.0,0.0,100.0,0.0,100,1.0,100.0,0.0,100.0,2026-08-11T07:54:38.636175+00:00,,,,,,,,,,,,,,
PREDEPLOY_appointment_sim_cal_telonly_100_multiinfo,surfers-immo-cal-telonly-v2-hangup-multiinfo_V1_sigateai-4ef3dc26,497720bc-4167-456b-b117-77d251608950,2026-08-14 18:08:37.247447+00:00,100,0.0,0 days 00:01:46.496000,0 days 00:02:36.354500,813297,6.66126,,,0.98,100,0.122254,100.0,0.35871000000000003,100.0,0.01,100.0,0.11,100,,,0.0,100.0,2026-08-11T07:56:00.242387+00:00,,,0.98,100.0,,,,,,,,,,
PREDEPLOY_appointment_sim_cal_telemail_100_multiinfo,surfers-immo-cal-telemail-v2-hangup-multiinfo_V1_sigateai-9a037885,d40abc05-3e3b-44a6-8c97-a98092f9e008,2026-08-14 18:53:32.924773+00:00,100,0.0,0 days 00:01:47.329000,0 days 00:02:30.440090,900538,6.975915,0.98,100.0,0.97,100,0.127978,100.0,0.377225,100.0,,,0.08,100,,,,,2026-08-11T07:58:35.001024+00:00,,,,,0.03,100.0,,,,,,,,
PREDEPLOY_callback_sim_100,surfers-immo-callback_V1_sigateai-f238efbf,8f22ca10-3132-4c05-a048-56337e519f91,2026-08-14 19:40:27.520301+00:00,100,0.0,0 days 00:00:08.105500,0 days 00:00:12.067390,87746,0.795505,,,0.51,100,0.0,100.0,0.0111,100.0,,,0.0,100,,,,,2026-08-11T11:15:12.098010+00:00,,,,,,,0.0,100.0,0.04,100.0,,,,
PREDEPLOY_techsupport_sim_answerable_100,surfers-immo-techsupport_answerable_V1_sigateai-ed80438c,136cbbcd-44fb-4316-868a-61484afb4b4c,2026-08-14 19:44:01.722552+00:00,100,0.0,0 days 00:00:09.847500,0 days 00:00:28.539120,92652,0.67191,,,0.99,100,,,,,,,0.01,100,,,,,2026-08-14T13:04:35.500371+00:00,,,,,,,,,,,0.88,100.0,,
PREDEPLOY_techsupport_sim_unanswerable_100,surfers-immo-techsupport_unanswerable_V1_sigateai-84fca4e3,930739ba-211e-4e86-af48-f93be1e9330d,2026-08-14 19:49:06.175179+00:00,100,0.0,0 days 00:00:08.486500,0 days 00:00:15.598350,78791,0.579305,,,1.0,100,,,,,,,0.02,100,,,,,2026-08-14T13:05:09.451718+00:00,,,,,,,,,,,,,0.92,100.0
